id,platform,game_id
124,playstation,27e7a99b-a40b-4bc2-98fd-d3134cc453fa
125,windows,27e7a99b-a40b-4bc2-98fd-d3134cc453fa
126,xbox,27e7a99b-a40b-4bc2-98fd-d3134cc453fa
127,xbox,20f8bfb7-b1a3-456f-aa8d-3fe5c3670803
128,windows,20f8bfb7-b1a3-456f-aa8d-3fe5c3670803
130,playstation,1d1f0c77-4b09-4fce-83b2-df7085400407
131,xbox,1d1f0c77-4b09-4fce-83b2-df7085400407
46,windows,d1c2404d-5bcf-4bff-a3f3-359b3439a8cc
68,windows,ace9041e-a0fe-47b8-b0cc-8ec09c19e727
74,windows,a34f0d6e-ee24-4e92-a1f1-136d75bb3db7
76,windows,9437cc3e-e4be-4db9-b7ef-ba99f4573529
52,windows,cc9db3b4-a973-401d-8a52-e9f92a95229c
59,windows,c4b4e3af-76bc-4477-8cd6-94bb8901583c
45,windows,d41bb98f-6c3c-40d1-8025-9a9e9edef36b
34,windows,f06d540a-ed32-48e4-9615-261c47e24047
49,windows,d0d7b21f-7aea-4d50-ad35-7f08e2b8c251
62,windows,b8e39a1c-8317-40c5-8dce-187ef96305be
71,windows,acd39674-564f-483b-9c0f-4def399d75af
88,windows,7d175438-da6b-4f60-8297-b2539ba58b8c
129,windows,1d1f0c77-4b09-4fce-83b2-df7085400407
27,windows,f44ed937-a134-4fda-a332-de4378df62b4
37,windows,e7ae15b8-6a9e-40f8-aeba-e384dfc5fb37
42,windows,d739700b-a316-46e8-abb6-cac4a204a6d9
65,windows,b291fd6c-4deb-4eec-82f1-614ce496cf30
79,windows,92ec0f8e-b0b0-4c7b-967c-d13599a5ff21
91,windows,79c09813-e258-4fe7-bf33-73516deec59a
94,windows,770014fc-5129-412a-82a9-2a90e89c0600
114,windows,355a8331-2486-4416-85cc-c14b7f1c3d9c
96,windows,69c6a93b-33aa-410a-9f0d-c804ce1a3556
99,windows,647834ee-08e5-4a9a-bf97-bdfbe4fc08e4
22,windows,fb420243-232e-4fe1-acfd-134f8427e515
30,windows,f25b5cfb-ecf7-4854-8630-cd979ca2a026
132,playstation,17714fc7-75a6-496a-a107-29cd2c1b47f2
133,windows,17714fc7-75a6-496a-a107-29cd2c1b47f2
134,playstation,13a2a104-9c67-4a00-ae5d-19541dcc0e92
135,windows,13a2a104-9c67-4a00-ae5d-19541dcc0e92
136,xbox,12545cd9-0569-4882-b04e-b8adc223a8fd
137,windows,12545cd9-0569-4882-b04e-b8adc223a8fd
139,playstation,0b88d590-82ab-40aa-83b1-20e7c4503e59
140,xbox,0b88d590-82ab-40aa-83b1-20e7c4503e59
141,playstation,0364fc87-34cd-43f0-8fc6-a0a6a931d5c2
142,nintendo,025ea231-da64-407d-94aa-715e7751ba0a
108,windows,50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
121,windows,2c8780fc-f953-4e60-a34e-14dd25dd021f
138,windows,0b88d590-82ab-40aa-83b1-20e7c4503e59
111,windows,4a650783-6a10-42d3-914f-f0270ba9627b
