id,platform,game_id
2,playstation,d790c144-5da2-4ef5-b278-e4840b0349f3
3,xbox,d790c144-5da2-4ef5-b278-e4840b0349f3
5,playstation,621e4265-f73e-4105-978d-252495659c05
6,xbox,621e4265-f73e-4105-978d-252495659c05
11,playstation,40cb3374-86a6-494e-b13a-9929e3242514
12,playstation,eb02b546-e3a7-4386-b8e9-d1576fcfe641
1,windows,d790c144-5da2-4ef5-b278-e4840b0349f3
4,windows,621e4265-f73e-4105-978d-252495659c05
10,windows,40cb3374-86a6-494e-b13a-9929e3242514
13,playstation,51e253ce-e19a-4e27-95f3-82794841cc15
14,xbox,2c1fd3b3-78cb-4210-9dee-30b7625eeaa5
15,windows,2c1fd3b3-78cb-4210-9dee-30b7625eeaa5
16,nintendo,948a0390-ccd8-4479-a452-c467dfc29a02
7,playstation,91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
17,playstation,003c1cb2-2333-4a28-a76c-4b1bbac13eae
19,playstation,cc8f6183-89ca-4a0d-b000-9a5df2c6e31d
20,playstation,8525047c-d017-4035-b607-85fb86855b71
21,windows,8525047c-d017-4035-b607-85fb86855b71
18,windows,cc8f6183-89ca-4a0d-b000-9a5df2c6e31d
23,playstation,fb420243-232e-4fe1-acfd-134f8427e515
24,xbox,fb420243-232e-4fe1-acfd-134f8427e515
25,playstation,faf77828-592f-4dd2-9b8b-904a912efd46
26,windows,faf77828-592f-4dd2-9b8b-904a912efd46
28,playstation,f44ed937-a134-4fda-a332-de4378df62b4
29,xbox,f44ed937-a134-4fda-a332-de4378df62b4
31,playstation,f25b5cfb-ecf7-4854-8630-cd979ca2a026
32,xbox,f25b5cfb-ecf7-4854-8630-cd979ca2a026
33,playstation,f200447d-95a6-46ff-ab93-ab1ba2158c44
35,playstation,f06d540a-ed32-48e4-9615-261c47e24047
36,xbox,f06d540a-ed32-48e4-9615-261c47e24047
38,playstation,e7ae15b8-6a9e-40f8-aeba-e384dfc5fb37
39,xbox,e7ae15b8-6a9e-40f8-aeba-e384dfc5fb37
40,playstation,ddd95d91-9820-4d72-97cd-f5d35bd04557
41,windows,ddd95d91-9820-4d72-97cd-f5d35bd04557
43,playstation,d739700b-a316-46e8-abb6-cac4a204a6d9
44,xbox,d739700b-a316-46e8-abb6-cac4a204a6d9
47,playstation,d1c2404d-5bcf-4bff-a3f3-359b3439a8cc
48,xbox,d1c2404d-5bcf-4bff-a3f3-359b3439a8cc
50,playstation,d0d7b21f-7aea-4d50-ad35-7f08e2b8c251
51,xbox,d0d7b21f-7aea-4d50-ad35-7f08e2b8c251
53,playstation,cc9db3b4-a973-401d-8a52-e9f92a95229c
54,xbox,cc9db3b4-a973-401d-8a52-e9f92a95229c
55,xbox,c7f0e843-feee-4941-8a88-ceafba9862df
56,windows,c7f0e843-feee-4941-8a88-ceafba9862df
57,playstation,c5619b78-06b3-4b02-a26f-a07d1d87711d
